charging_station_id,latitude,longitude,station_type,power_output_kw,num_connectors,charging_demand_kwh,num_vehicles_charged,avg_wait_time_minutes,traffic_density,ev_adoption_rate,population_density,time_of_day,day_of_week,weather_condition,temperature_c,grid_load_mw,renewable_energy_share,distance_to_nearest_station,poi_density,user_battery_level,is_optimal_location
CS_2862,13.085137751172589,77.55602698128176,Level 2,100.0,3,94.9,11,0.1,279.2,29.7,15347.0,0,3,Cloudy,30.9,237.9,85.7,1.82,27.6,13.1,1
CS_2863,12.974486687896759,77.52020978437298,Level 2,100.0,3,96.4,4,9.2,399.9,32.2,17023.1,13,6,Extreme,26.2,170.7,41.3,1.52,8.8,76.2,0
CS_2864,12.93098425693063,77.5564266127045,DC Fast Charger,100.0,4,129.6,10,0.5,326.4,20.0,11624.4,11,2,Clear,25.7,327.2,71.6,3.34,9.3,31.4,0
CS_2865,12.974026650400836,77.63369655176989,DC Fast Charger,150.0,6,112.2,6,3.7,151.4,22.9,20340.0,9,3,Rain,26.1,249.7,28.1,0.4,17.0,15.3,1
CS_2866,12.95500951556788,77.50203268095086,DC Fast Charger,7.2,6,127.6,3,4.7,72.3,33.8,5798.6,18,5,Extreme,22.0,217.5,60.4,3.81,4.7,69.8,0
CS_2867,13.027632876127198,77.45361183627979,DC Fast Charger,50.0,6,84.8,13,12.4,365.9,27.4,9828.4,12,2,Rain,22.7,397.4,45.1,0.25,20.4,80.3,0
CS_2868,12.884748819791856,77.57548083550172,Level 2,22.0,7,113.0,19,3.6,411.1,23.7,11242.6,13,5,Clear,24.6,116.0,50.6,1.85,14.3,89.0,0
CS_2869,12.905915117480092,77.59956123104432,Level 2,150.0,3,0.0,3,1.1,443.7,12.7,19470.6,22,7,Cloudy,35.1,317.6,26.2,1.37,5.2,73.7,0
CS_2870,13.068228290759976,77.61381540088757,DC Fast Charger,100.0,5,120.0,18,1.5,357.7,26.1,20929.3,3,4,Extreme,25.9,224.3,79.8,0.98,14.1,60.2,0
CS_2871,13.083936953945122,77.66459627722985,Level 2,150.0,5,63.5,12,0.3,245.4,15.2,17501.4,16,1,Clear,26.2,199.9,65.1,1.5,3.3,80.4,0
CS_2872,13.067767468245941,77.51135223620673,Level 2,22.0,9,90.2,12,1.3,271.7,25.7,11631.2,18,2,Extreme,31.3,368.6,42.7,0.6,18.8,74.1,1
CS_2873,12.925834398187193,77.42260646886868,Level 2,150.0,3,122.4,12,8.4,392.2,21.2,10231.4,4,5,Rain,28.0,332.8,39.3,1.03,3.1,42.0,1
CS_2874,13.034109650902064,77.68750457508929,DC Fast Charger,100.0,2,53.9,7,7.1,130.2,8.6,12939.7,11,7,Extreme,25.6,106.2,14.6,0.07,22.7,78.9,0
CS_2875,12.94290071999033,77.53050357823125,DC Fast Charger,7.2,3,132.7,9,0.4,253.7,35.0,13785.8,6,5,Clear,27.6,320.7,41.6,11.94,20.5,10.4,1
CS_2876,12.94926195564383,77.58697725290195,DC Fast Charger,100.0,9,96.3,12,3.3,74.3,25.3,16889.0,0,2,Cloudy,23.5,102.5,28.2,0.19,1.9,50.4,1
CS_2877,12.861404032717186,77.59989159693849,DC Fast Charger,100.0,9,143.6,19,1.8,97.4,36.6,18553.5,21,1,Extreme,22.0,114.2,77.3,3.53,2.4,39.8,0
CS_2878,12.977339090977555,77.56395411261036,DC Fast Charger,100.0,9,72.9,4,5.2,153.9,37.4,12561.9,20,5,Clear,32.8,176.4,33.7,0.88,9.6,51.6,1
CS_2879,12.855840769326004,77.46157725892088,DC Fast Charger,150.0,9,45.6,10,16.3,333.5,23.1,7401.2,23,5,Cloudy,29.6,394.2,56.6,2.66,3.9,62.5,1
CS_2880,12.899469409720158,77.62654291503485,DC Fast Charger,22.0,8,99.1,19,5.0,464.0,28.7,13789.5,22,4,Cloudy,18.3,217.4,61.8,0.84,9.8,81.0,0
CS_2881,13.05650906048598,77.64112559229123,Level 2,100.0,9,117.6,17,6.8,214.2,36.3,12231.6,3,1,Cloudy,32.0,270.8,58.9,5.92,6.2,13.8,1
CS_2882,12.862122742763257,77.56589267580523,Level 2,150.0,7,120.1,18,2.5,275.2,28.8,6194.8,8,3,Rain,26.9,334.4,59.6,0.32,20.3,35.7,0
CS_2883,12.82134748555203,77.54656834817546,DC Fast Charger,22.0,8,65.9,10,0.2,306.7,13.5,9108.7,18,2,Extreme,26.7,178.6,73.0,0.87,3.8,57.9,0
CS_2884,12.820702277783846,77.4341814549384,Level 2,7.2,6,51.3,12,2.7,178.1,14.0,13299.4,14,1,Cloudy,32.6,381.7,45.4,7.73,1.1,58.0,1
CS_2885,13.082235356150932,77.42518549844993,Level 2,100.0,3,90.6,8,3.6,360.4,19.7,16062.5,18,1,Clear,23.1,238.4,22.5,0.37,6.7,56.2,1
CS_2886,12.95207613138855,77.50186945366906,DC Fast Charger,50.0,7,115.5,19,3.4,145.6,6.3,15892.6,19,4,Clear,28.3,363.2,49.6,1.6,11.2,57.8,0
CS_2887,12.922823621545106,77.49325384665522,Level 2,150.0,2,114.0,1,1.3,135.2,18.0,9245.4,6,2,Extreme,35.2,235.7,11.2,0.06,0.6,86.3,0
CS_2888,13.043263574302376,77.68609693528899,Level 2,7.2,3,147.2,4,3.2,142.6,10.0,9616.7,22,3,Clear,26.5,372.1,68.2,4.32,22.3,53.3,0
CS_2889,13.050747778373154,77.63508682273303,DC Fast Charger,7.2,8,88.8,6,6.3,265.7,33.9,19218.3,4,6,Rain,25.9,358.1,17.7,0.59,22.3,16.0,0
CS_2890,12.899657309934682,77.59797728857772,DC Fast Charger,7.2,6,44.7,4,1.9,162.6,32.4,11826.0,22,4,Cloudy,36.2,203.1,32.6,1.06,14.2,17.1,0
CS_2891,13.008085417242139,77.55529442670529,Level 2,150.0,4,135.9,16,5.0,244.9,11.1,8786.8,16,1,Clear,25.3,126.2,38.2,1.0,14.9,67.7,0
CS_2892,13.031336844755566,77.450210259218,DC Fast Charger,22.0,5,105.9,8,0.8,219.6,15.0,14064.3,6,3,Rain,31.5,118.9,78.4,0.53,21.7,80.5,0
CS_2893,12.996395206059786,77.69353700165529,DC Fast Charger,50.0,2,108.5,9,1.6,423.9,24.9,14864.7,16,4,Extreme,21.6,240.2,71.5,2.39,22.4,62.1,0
CS_2894,12.84547852244003,77.51251220947206,Level 2,22.0,4,123.0,15,10.8,148.6,13.7,8986.6,3,3,Extreme,32.0,112.2,79.2,1.59,19.6,21.8,0
CS_2895,13.062764925055117,77.43207768073418,DC Fast Charger,100.0,5,137.9,18,4.9,187.7,6.9,14344.7,12,6,Rain,25.2,286.6,89.5,0.54,3.0,89.4,0
CS_2896,12.961728365820802,77.54813966871473,Level 2,50.0,4,99.3,3,0.4,478.6,31.8,19964.9,2,6,Clear,32.6,342.4,55.4,4.7,17.7,33.2,1
CS_2897,12.884741727911,77.66219940348392,DC Fast Charger,22.0,8,135.3,17,1.5,160.1,8.2,8414.5,17,1,Clear,25.3,360.1,21.6,1.07,17.6,81.6,0
CS_2898,12.927568455631308,77.6661873005332,Level 2,100.0,3,116.6,1,25.5,408.6,28.7,12172.7,7,4,Rain,30.6,383.7,49.8,1.3,11.7,18.6,1
CS_2899,12.811271327119673,77.40328977481694,DC Fast Charger,50.0,9,80.3,7,1.6,113.7,10.2,7026.9,16,5,Rain,18.4,125.2,78.1,1.25,5.0,68.4,0
CS_2900,12.838360040366727,77.66588872342543,Level 2,150.0,3,93.0,10,4.3,314.0,5.3,9302.6,4,7,Rain,27.4,362.9,33.8,0.14,28.0,45.0,0
CS_2901,13.029664025154759,77.48144526524996,DC Fast Charger,100.0,5,118.5,15,4.0,91.4,24.7,13644.2,0,3,Rain,28.4,130.1,56.1,0.17,23.6,74.1,0
CS_2902,12.80000349042661,77.41169170919053,Level 2,22.0,5,78.7,13,2.6,234.5,15.0,24488.9,6,7,Rain,23.1,397.1,22.5,3.35,13.3,30.4,0
CS_2903,12.924969748544688,77.65433708110886,DC Fast Charger,50.0,3,126.6,5,0.2,480.0,9.6,18979.7,10,6,Clear,28.2,132.7,22.4,3.24,8.6,58.4,0
CS_2904,12.956753054325677,77.65916002679647,Level 2,100.0,3,104.7,7,1.7,339.2,29.0,23630.9,18,6,Cloudy,41.4,398.7,58.2,2.71,12.5,25.8,1
CS_2905,12.816390326000292,77.5788693239527,DC Fast Charger,100.0,7,111.4,14,15.3,143.4,27.5,7093.5,21,1,Extreme,22.9,223.4,85.6,3.3,14.4,40.6,0
CS_2906,13.0919234488917,77.5723301271889,Level 2,150.0,5,143.2,14,0.1,414.0,19.4,23838.8,11,7,Clear,30.3,322.0,30.7,0.6,23.3,16.8,0
CS_2907,12.867837599374901,77.64393608178644,Level 2,100.0,5,110.7,9,6.3,344.5,8.1,15221.2,22,4,Rain,25.0,152.6,64.6,5.63,1.4,63.8,0
CS_2908,12.891259615890885,77.63589286581309,DC Fast Charger,50.0,9,102.1,6,11.2,467.5,21.3,10646.6,11,3,Cloudy,34.0,124.8,72.7,0.09,20.5,68.2,1
CS_2909,12.891182753676508,77.66703164203281,DC Fast Charger,7.2,9,97.5,19,7.2,152.9,8.6,21895.6,0,1,Rain,29.3,301.7,30.7,1.58,19.1,63.2,0
CS_2910,12.869124998635206,77.56582423427902,Level 2,50.0,9,96.0,15,2.0,104.6,39.8,17027.0,10,3,Extreme,25.5,265.9,29.3,1.63,20.0,78.2,0
CS_2911,12.800442146625894,77.69029412781984,DC Fast Charger,50.0,9,109.4,16,3.7,335.7,13.2,6814.9,12,6,Clear,28.6,372.4,74.3,1.17,21.4,16.6,0
CS_2912,13.0188034382264,77.69884404928,Level 2,150.0,8,140.9,12,10.1,461.1,5.1,15706.0,9,3,Clear,36.5,304.2,15.7,2.51,28.7,27.1,1
CS_2913,13.090053649939785,77.4349633829996,Level 2,150.0,7,81.6,3,18.5,400.0,12.7,17837.6,22,6,Rain,25.6,291.0,36.0,0.77,24.0,68.1,1
CS_2914,12.867288044985514,77.65486312786624,Level 2,100.0,5,79.4,3,0.5,235.0,26.7,5355.3,11,6,Rain,32.5,295.8,51.9,0.82,17.2,19.5,0
CS_2915,12.998914157541027,77.54994667732458,Level 2,150.0,8,138.6,6,0.7,244.3,39.2,15992.9,14,5,Clear,22.6,220.3,31.5,0.17,13.0,56.9,0
CS_2916,13.022568898087615,77.51626990148995,Level 2,100.0,6,83.0,19,15.6,199.7,23.4,12263.9,14,2,Extreme,30.1,316.5,18.2,10.45,25.6,34.6,0
CS_2917,13.054527613727156,77.58392169296482,Level 2,7.2,8,106.5,12,10.3,462.8,20.6,14137.1,11,4,Extreme,27.5,368.3,81.8,2.05,29.7,33.2,1
CS_2918,12.926788759104083,77.4167896671786,DC Fast Charger,22.0,7,82.2,16,1.2,415.2,39.7,7179.0,23,6,Clear,34.0,307.5,46.2,1.53,29.2,17.2,1
CS_2919,12.890879271692128,77.55193833563013,Level 2,150.0,6,49.6,18,17.6,170.3,10.8,15057.6,16,7,Clear,27.7,133.9,23.1,0.16,16.5,32.0,0
CS_2920,12.89758854020691,77.661267171008,Level 2,150.0,9,105.9,4,1.2,194.3,11.9,24694.5,15,6,Cloudy,34.4,235.7,87.7,0.67,19.6,86.5,1
CS_2921,13.013786399929554,77.4640384548417,Level 2,7.2,3,133.5,13,0.5,382.9,18.3,19762.3,2,2,Cloudy,24.0,221.1,82.4,1.65,24.6,79.3,0
CS_2922,13.04503383995169,77.52791696843083,Level 2,150.0,6,98.1,13,5.7,240.9,31.2,23557.1,15,5,Clear,22.0,245.3,32.0,2.6,12.3,41.2,0
CS_2923,12.854484190326982,77.68184426631447,Level 2,7.2,8,55.6,2,3.9,324.4,15.6,10549.9,7,5,Rain,23.2,187.5,13.0,1.69,21.1,13.5,1
CS_2924,12.91128230244733,77.52856915134171,DC Fast Charger,100.0,2,103.3,9,1.4,120.0,21.4,12649.6,15,4,Extreme,30.3,267.5,35.9,6.63,11.3,58.0,1
CS_2925,13.070582059024744,77.50751028969972,DC Fast Charger,150.0,3,77.3,11,13.2,422.0,37.9,17980.3,21,3,Clear,22.6,341.3,18.2,0.6,18.6,59.8,0
CS_2926,13.042008055908422,77.53216099443702,Level 2,150.0,2,21.4,3,2.6,300.4,35.5,19792.6,17,3,Extreme,16.9,200.6,45.0,3.6,4.4,38.1,1
CS_2927,13.095457520828742,77.55583582995527,Level 2,100.0,4,97.6,17,2.6,421.6,38.1,11081.8,17,1,Extreme,26.3,376.2,55.2,2.51,23.2,75.1,1
CS_2928,13.026274477904623,77.58959740323944,Level 2,150.0,2,115.5,12,5.0,371.7,10.8,11951.8,21,7,Extreme,28.8,182.9,14.8,0.13,2.8,68.5,0
CS_2929,12.917958560308376,77.64020784027502,DC Fast Charger,50.0,4,135.3,5,1.3,243.1,21.9,7634.4,15,3,Clear,25.7,250.4,88.2,0.87,4.1,36.0,0
CS_2930,12.97719135019839,77.5356306617293,DC Fast Charger,7.2,2,152.7,14,4.4,356.3,30.0,18574.1,14,6,Extreme,22.3,296.4,49.8,12.53,24.8,39.2,0
CS_2931,12.998304276274196,77.64524428052705,Level 2,22.0,8,119.5,19,2.3,76.9,30.7,11970.3,22,7,Rain,33.8,345.8,62.3,0.32,16.7,25.3,0
CS_2932,12.823536744895138,77.56011619840562,DC Fast Charger,50.0,8,128.0,17,5.9,246.3,24.3,7773.9,2,3,Cloudy,32.1,300.3,31.2,0.31,15.1,34.9,1
CS_2933,12.96334908773116,77.5015441531104,Level 2,22.0,4,61.5,4,1.4,246.1,33.7,17679.7,6,1,Extreme,29.7,364.4,58.0,1.74,26.4,80.7,0
CS_2934,13.012796248541783,77.59738524843583,Level 2,50.0,9,148.7,1,1.0,239.3,6.5,5249.4,7,2,Cloudy,34.5,349.3,48.3,2.89,10.0,13.9,1
CS_2935,12.850196391200319,77.61531667642305,DC Fast Charger,50.0,4,138.0,17,1.4,102.9,11.9,24001.5,19,7,Clear,23.5,161.2,78.5,0.06,10.0,87.2,0
CS_2936,13.034189515227666,77.56741469268886,DC Fast Charger,50.0,3,89.0,10,13.7,269.1,16.5,17820.7,17,5,Rain,26.9,211.2,27.3,0.6,16.0,33.7,0
CS_2937,12.975131834154233,77.41698449194043,DC Fast Charger,7.2,8,120.4,8,9.5,392.8,30.5,17157.0,4,7,Clear,33.9,108.7,10.3,1.23,25.3,71.8,0
CS_2938,13.085666535709278,77.45096486254825,DC Fast Charger,22.0,5,117.4,11,8.8,195.4,36.6,17942.5,4,5,Extreme,28.8,186.2,24.4,2.3,6.2,31.3,0
CS_2939,12.812726689462067,77.48558931626707,DC Fast Charger,100.0,5,144.1,10,7.6,418.4,23.5,11330.9,12,6,Clear,36.5,104.5,28.0,0.78,8.8,45.1,0
CS_2940,12.87959784126664,77.48478768178545,Level 2,100.0,3,95.5,19,5.1,313.5,29.8,9664.3,8,3,Rain,19.2,306.0,45.1,1.5,21.8,42.5,1
CS_2941,12.980466163789947,77.60202624007407,DC Fast Charger,150.0,4,77.6,6,0.5,375.9,25.8,15736.1,12,1,Clear,18.9,313.0,40.1,1.06,29.7,51.0,0
CS_2942,12.88896797366178,77.40550459850209,Level 2,7.2,5,85.3,11,2.0,454.0,37.4,23881.2,16,6,Rain,25.5,334.7,32.0,1.48,20.9,62.3,0
CS_2943,13.014327249221372,77.62670453311486,DC Fast Charger,7.2,5,126.9,16,4.1,267.0,36.5,10621.3,13,3,Cloudy,30.9,142.7,33.2,2.27,16.9,27.8,0
CS_2944,13.02770158475658,77.47960274244208,Level 2,7.2,2,42.4,10,0.6,430.2,33.3,19328.0,12,4,Rain,31.6,197.3,26.4,2.37,26.3,34.8,0
CS_2945,12.830754789219943,77.49300655386483,DC Fast Charger,50.0,6,10.1,1,0.2,113.2,14.8,24465.3,1,1,Cloudy,26.8,288.5,16.1,0.44,12.3,81.7,0
CS_2946,12.954156339262031,77.55837294838318,DC Fast Charger,7.2,3,126.8,8,0.5,400.3,18.1,15987.7,20,7,Clear,33.2,356.0,72.0,0.95,20.4,25.9,1
CS_2947,12.952667166677317,77.4647776802817,Level 2,100.0,6,108.2,17,0.6,425.2,19.6,14172.0,9,2,Extreme,30.1,354.7,12.8,0.65,7.2,32.4,0
CS_2948,12.910784231064662,77.66534139407266,DC Fast Charger,7.2,4,100.6,19,0.6,456.5,5.2,19961.6,6,2,Clear,28.3,221.0,60.1,0.87,11.9,68.7,1
CS_2949,13.079877458770902,77.42561063379797,Level 2,50.0,2,60.8,9,1.1,86.5,13.1,7827.7,13,3,Extreme,34.7,199.2,79.0,0.87,21.6,26.9,1
CS_2950,13.048251895961966,77.53331470869033,DC Fast Charger,22.0,5,48.7,8,3.5,102.6,30.0,5661.8,3,1,Extreme,28.3,239.3,40.0,0.08,18.2,53.8,1
CS_2951,13.00916281457289,77.65482668083646,Level 2,7.2,7,81.0,9,1.7,60.2,24.1,12037.2,15,6,Extreme,24.4,147.9,58.4,3.53,27.1,33.0,1
CS_2952,13.014297990720499,77.58475316832637,Level 2,22.0,2,110.9,16,9.8,277.6,38.5,21744.7,14,6,Extreme,26.9,169.1,60.1,1.08,6.2,42.2,1
CS_2953,12.938514843143937,77.4876988547528,DC Fast Charger,150.0,3,82.4,14,10.4,136.8,6.0,6550.4,7,4,Cloudy,22.9,105.4,19.6,4.61,14.7,76.0,0
CS_2954,13.076298356328973,77.52622806233295,DC Fast Charger,50.0,8,127.0,6,12.6,305.5,18.2,16821.8,6,5,Clear,27.0,324.3,27.8,2.13,1.6,30.1,1
CS_2955,13.008378628175986,77.61200831410275,DC Fast Charger,7.2,4,71.4,9,3.2,451.5,29.8,6030.3,13,1,Clear,23.9,398.5,26.7,5.06,29.1,10.6,0
CS_2956,13.018694318496745,77.69197822300917,DC Fast Charger,150.0,2,84.4,11,7.4,197.2,9.7,15019.4,3,4,Rain,21.3,123.3,18.9,5.24,18.1,61.1,0
CS_2957,13.058507271136204,77.66794161551384,DC Fast Charger,150.0,2,121.1,15,4.5,52.4,22.5,7601.4,0,3,Extreme,25.6,145.1,63.0,0.07,5.5,82.0,0
CS_2958,12.882221476802657,77.50272984251471,Level 2,22.0,2,88.7,15,0.8,450.4,5.6,17151.6,12,2,Rain,20.5,161.3,46.9,1.19,25.6,57.5,0
CS_2959,13.04212127116001,77.69945936378636,DC Fast Charger,100.0,5,90.2,5,5.0,329.8,11.3,11203.6,10,5,Extreme,31.7,263.4,39.9,0.53,3.3,54.0,0
CS_2960,12.858572180886949,77.40105139905933,DC Fast Charger,100.0,4,80.7,8,9.1,140.7,37.8,12413.5,5,2,Cloudy,31.2,216.2,79.2,0.8,26.5,15.4,1
CS_2961,12.903602585673466,77.40828892674253,Level 2,100.0,5,75.1,3,2.1,361.6,26.0,6259.2,0,4,Rain,33.1,123.7,85.8,0.36,1.2,21.0,0
CS_2962,12.900683136280954,77.64715215455136,Level 2,100.0,2,110.6,4,6.9,334.8,31.6,20520.9,22,5,Clear,25.3,101.5,49.2,0.06,28.2,28.6,1
CS_2963,13.093557640516742,77.45983880604992,DC Fast Charger,50.0,8,114.5,7,7.4,221.1,8.6,17053.1,2,4,Rain,30.3,201.4,77.5,0.92,8.9,10.3,0
CS_2964,13.056961167124378,77.41823078051888,Level 2,7.2,5,106.8,17,5.2,145.5,13.2,16631.5,6,2,Rain,22.3,232.5,83.2,2.84,11.0,42.5,1
CS_2965,13.010350958477078,77.47114442197096,DC Fast Charger,7.2,5,81.5,12,10.7,496.6,11.7,18161.8,5,7,Extreme,25.1,306.9,34.8,5.04,18.8,53.3,0
CS_2966,13.018117028484617,77.52783004619427,Level 2,50.0,3,94.0,6,0.8,339.4,14.6,18275.0,9,1,Extreme,33.1,393.8,11.7,1.56,28.3,50.0,1
CS_2967,12.968621838320772,77.61916988113002,Level 2,22.0,9,147.9,4,9.3,50.8,14.0,12045.8,14,2,Extreme,33.9,224.0,68.0,0.24,5.8,33.2,0
CS_2968,13.084127200132555,77.58730065796537,Level 2,7.2,6,57.4,18,4.7,106.5,24.7,10489.6,4,3,Clear,28.6,256.2,33.9,1.14,10.7,22.4,0
CS_2969,12.948877625864709,77.47128636526813,DC Fast Charger,150.0,6,156.6,16,9.7,161.3,29.7,10950.3,11,3,Clear,31.4,319.9,11.9,2.46,20.3,88.6,0
CS_2970,12.914155312960968,77.55098113443017,Level 2,7.2,9,103.0,1,3.8,415.9,24.2,21227.3,22,4,Clear,26.8,225.2,42.0,1.2,2.1,54.9,0
CS_2971,12.848910601079478,77.67786423161958,DC Fast Charger,50.0,3,94.6,17,2.0,263.6,15.5,8389.9,4,6,Rain,33.0,279.2,48.6,0.49,10.2,27.7,1
CS_2972,13.035861695678317,77.64450233309513,DC Fast Charger,22.0,3,128.6,5,11.4,77.1,29.3,14735.3,9,3,Extreme,23.4,210.5,41.5,2.72,19.0,72.8,1
CS_2973,13.020333179622677,77.49695693544955,DC Fast Charger,7.2,7,38.0,18,10.5,169.3,24.3,17513.2,1,7,Rain,28.6,397.1,32.1,3.19,13.1,47.7,1
CS_2974,12.91530651155724,77.69467936840671,Level 2,50.0,9,141.4,6,1.6,491.3,27.3,15324.9,8,6,Extreme,33.9,166.7,78.6,2.78,29.4,26.8,1
CS_2975,12.80755802418777,77.61258612013054,DC Fast Charger,150.0,5,155.7,13,6.8,395.5,12.4,16066.9,0,1,Clear,25.5,324.6,50.7,1.64,29.3,68.7,0
CS_2976,13.051699198315402,77.41873480670004,Level 2,100.0,7,132.6,8,0.5,52.1,38.6,21780.9,9,1,Extreme,27.9,127.3,73.2,2.0,27.8,68.9,0
CS_2977,12.803425395036223,77.4105482139866,Level 2,150.0,5,36.9,19,0.4,427.4,16.5,11588.0,5,5,Extreme,30.2,181.4,37.0,2.21,28.7,78.6,0
CS_2978,13.011109933888715,77.45052238470302,DC Fast Charger,150.0,4,122.9,16,3.6,136.5,17.9,11917.1,7,3,Extreme,32.7,309.6,34.3,5.1,28.6,12.8,1
CS_2979,13.091077132917817,77.61835676041505,DC Fast Charger,22.0,6,149.4,18,0.2,198.8,23.9,8317.2,22,7,Clear,24.3,192.0,74.1,0.34,25.2,48.8,0
CS_2980,12.931298398444461,77.45512167775273,DC Fast Charger,7.2,5,146.3,7,2.8,103.3,6.7,20006.1,5,7,Rain,29.9,192.1,82.7,1.68,28.5,45.0,0
CS_2981,12.870492021498785,77.55344603076266,DC Fast Charger,100.0,4,57.8,9,7.8,54.8,11.7,9145.9,16,4,Extreme,32.9,161.9,68.3,1.36,0.3,83.7,0
CS_2982,13.011461303013014,77.42797803605426,DC Fast Charger,50.0,9,130.5,1,11.0,276.8,33.4,15395.3,18,2,Rain,32.9,125.4,37.1,0.51,23.5,42.0,0
CS_2983,13.045138442604676,77.67626584734906,Level 2,100.0,8,153.9,9,1.5,178.7,32.8,22083.2,15,1,Extreme,27.8,206.5,85.2,9.75,16.1,82.8,1
CS_2984,12.963929094823355,77.50318818407507,Level 2,7.2,7,100.9,10,0.4,212.1,10.0,6963.0,12,5,Clear,26.3,128.6,69.7,3.15,14.1,87.9,0
CS_2985,13.090110582576843,77.67243961696819,DC Fast Charger,22.0,6,56.4,18,5.0,126.0,25.6,8370.4,13,6,Clear,27.9,395.7,59.0,0.66,3.8,87.0,0
CS_2986,12.815500616497388,77.68346269257317,DC Fast Charger,7.2,9,124.9,1,1.5,412.9,7.3,8669.8,18,4,Clear,24.5,190.6,51.5,3.17,10.7,84.2,1
CS_2987,12.951438679491359,77.4018385941941,DC Fast Charger,50.0,4,131.6,13,0.1,128.1,7.6,7687.6,7,1,Cloudy,30.7,259.2,60.7,0.57,11.5,28.2,1
CS_2988,13.015536184196765,77.53924055615963,Level 2,100.0,4,95.8,14,0.7,282.8,33.0,23897.7,18,6,Extreme,28.7,182.0,13.4,0.66,6.5,69.8,1
CS_2989,13.058792141344753,77.40739681671208,Level 2,150.0,3,64.3,7,13.9,261.2,21.5,19799.1,13,6,Cloudy,15.8,169.0,62.1,4.41,28.4,46.5,0
CS_2990,12.853776683572338,77.67260782989088,DC Fast Charger,7.2,2,129.5,8,10.4,463.9,37.4,14099.4,21,1,Clear,29.8,315.6,33.0,4.66,18.3,75.3,0
CS_2991,13.040001044529104,77.55552226342037,DC Fast Charger,22.0,2,76.9,1,8.8,494.5,21.7,10952.8,18,4,Cloudy,25.6,208.7,42.5,3.37,29.0,84.7,0
CS_2992,12.965812122715564,77.42248320380955,Level 2,22.0,2,111.9,2,2.1,457.6,33.2,7303.8,10,5,Clear,28.8,149.6,56.4,10.57,17.6,62.0,1
CS_2993,12.91896610459699,77.43308301848298,Level 2,100.0,4,146.7,11,6.3,380.1,27.4,5473.5,21,1,Clear,35.6,160.1,34.0,0.23,15.9,77.3,1
CS_2994,12.839514508573728,77.51505270734782,DC Fast Charger,150.0,5,50.2,1,15.7,243.8,20.1,17998.7,19,7,Extreme,23.4,363.2,25.9,1.54,11.6,43.6,1
CS_2995,13.059588727672674,77.68207025786187,DC Fast Charger,50.0,9,127.2,12,4.2,108.7,24.4,15101.3,14,7,Cloudy,26.0,269.6,26.9,1.25,5.9,74.8,1
CS_2996,12.847181962453915,77.60787274547043,Level 2,150.0,7,93.8,8,2.0,441.5,37.7,16848.6,15,4,Clear,26.8,298.3,87.7,1.84,5.4,23.9,1
CS_2997,12.89293635776273,77.66028565985674,Level 2,100.0,2,94.6,3,8.0,372.3,7.7,8349.5,12,4,Cloudy,21.5,126.2,22.2,1.88,21.8,11.0,1
CS_2998,12.887013659588732,77.509936993902,Level 2,150.0,5,115.4,10,2.8,109.3,23.5,16774.7,10,5,Cloudy,28.5,273.5,69.7,1.99,24.4,55.4,1
CS_2999,13.061424210257256,77.412964109865,Level 2,100.0,8,76.9,15,4.3,89.6,6.8,9088.5,10,1,Rain,30.2,155.9,84.8,0.74,1.1,59.4,0
CS_3000,13.001810898262669,77.69229529116133,Level 2,150.0,8,64.7,12,3.9,353.4,24.4,5820.6,14,3,Cloudy,26.1,136.5,81.5,0.1,3.1,45.2,0
CS_3001,13.039004419157411,77.40515189719872,DC Fast Charger,7.2,6,46.5,2,1.2,457.7,26.2,22443.1,5,4,Extreme,30.8,245.6,53.1,0.84,22.1,32.1,1
CS_3002,12.87514036963775,77.68429549592433,DC Fast Charger,22.0,7,137.0,5,0.0,146.2,33.3,21547.1,8,6,Clear,35.4,278.5,39.7,2.52,5.1,43.3,0
CS_3003,12.9874622298821,77.51060322715475,Level 2,100.0,7,88.8,9,33.8,235.4,32.9,16776.7,2,4,Clear,24.5,208.8,48.1,0.95,11.4,15.9,0
CS_3004,12.971523794943124,77.40302712150657,Level 2,100.0,2,117.1,18,2.7,484.0,5.4,23296.4,21,1,Clear,27.2,306.8,11.7,1.49,23.8,36.0,1
CS_3005,13.049849113036482,77.60674716951736,Level 2,22.0,4,85.4,6,1.7,475.7,7.5,20444.8,18,5,Extreme,26.5,348.3,63.7,8.6,26.2,69.4,1
CS_3006,13.071826118144378,77.6941620912094,Level 2,50.0,3,65.1,11,7.3,364.4,29.0,10490.1,9,5,Cloudy,36.9,285.2,58.6,2.59,27.4,71.6,0
CS_3007,12.803647031443218,77.68968771685128,DC Fast Charger,100.0,8,119.6,14,4.5,263.3,11.4,23293.8,9,1,Clear,30.9,334.8,44.3,5.09,10.2,51.2,1
CS_3008,13.002205975717638,77.44828110336073,DC Fast Charger,7.2,4,109.8,1,10.6,217.8,23.5,12762.5,20,6,Extreme,33.4,354.5,88.0,0.96,18.0,28.3,0
CS_3009,12.815550739735919,77.45437434181986,DC Fast Charger,150.0,9,92.9,4,7.6,226.0,13.1,24666.9,5,5,Extreme,27.1,397.0,23.9,1.63,14.4,32.8,0
CS_3010,12.964657599523207,77.5696616743859,DC Fast Charger,7.2,7,109.1,7,1.7,277.2,34.2,18953.2,13,1,Rain,37.0,274.7,56.5,0.49,21.3,38.9,0
